DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
180,1201.386,1200.458416,3.28,-5.65,84,9,18,6,23,277.74
180,1199.219,1198.448911,3.52,-5.7,86,10,10,8,16,314.05
162,1061.323,1060.499316,6.04,-5.54,77,10,15,3,22,203.39
161,961.09,960.4493881,4.53,-4.95,70,7,16,4,26,220.05
160,1162.198,1161.453662,3.88,-5.63,83,9,10,8,22,310.81
158,992.64,991.4069106,5.79,-6.54,70,7,11,5,18,191.53
151.2,1009.339,1008.55202,6.98,-5.24,73,9,14,5,20,185.77
150,1200.247,1199.469312,4.22,-5.72,86,9,10,8,22,310.81
145.5,1035.127,1034.468661,4.32,-5.07,75,9,20,3,25,238.21
136,1029.19,1028.421459,4.3,-5.33,74,8,17,4,20,255.55
132,1096.413,1095.572815,6.01,-5.78,79,8,14,5,22,213.5
129.7,947.021,946.4162318,4.18,-4.91,69,9,18,3,19,219.75
127,1180.341,1179.458733,6.52,-6.29,85,10,14,4,26,220.08
126.2,995.312,994.5363697,6.78,-5.22,72,9,14,5,19,185.77
126,936.04,935.428987,2.8,-4.18,68,8,18,4,21,248.62
114,967.513,966.3150759,6.24,-5.86,69,9,15,4,15,215.81
106,1180.341,1179.458733,6.52,-6.29,85,10,14,4,26,220.08
100.6,813.978,813.3519826,3.67,-5.72,58,6,11,5,15,207.21
100,1002.661,1001.36948,4.42,-5.56,69,7,15,4,20,211.49
100,854.34,853.3114507,4.5,-4.79,61,7,12,4,17,195.27
100,1001.083,1000.371315,4.18,-5.37,71,8,16,3,22,236.59
100,1100.216,1099.439729,4.35,-5.44,78,8,17,4,27,265.69
100,1230.472,1229.521351,5.13,-5.52,86,8,18,4,29,261.87
100,1159.279,1158.507377,4.57,-5.4,84,8,18,6,34,284.23
100,949.043,948.2798037,4.91,-5.99,66,6,13,3,16,200.49
97,885.003,884.4194254,3.44,-4.51,65,9,16,3,15,225.78
93,1514.38,1512.588521,8.25,-6.78,103,10,17,5,28,234
91.7,1092.232,1091.427433,5.51,-6.19,78,8,14,5,24,228.87
90.1,843.942,843.3704095,4.4,-5.24,62,8,14,3,18,213.2
90,1163.186,1162.448911,3.53,-5.28,83,9,11,9,22,322.84
90,1172.193,1171.438012,3.89,-5.7,84,9,10,8,20,310.81
90,1133.242,1132.44996,4.15,-5.45,80,8,19,3,31,264.28
87,1107.442,1106.432893,6.15,-5.11,78,9,16,4,19,212.07
86.8,878.995,878.3976273,3.99,-4.65,65,9,16,2,13,210.51
85,1049.721,1048.385464,5.26,-5.72,73,8,15,5,18,228.28
81.8,886.975,886.3912848,3.89,-5.09,64,7,13,4,26,199.09
81.6,864.968,864.3819773,3.75,-4.63,64,9,16,2,12,210.51
80.6,843.942,843.3704095,4.55,-5.23,62,8,14,3,18,213.2
80,1082.161,1081.404012,3.94,-5.18,77,9,19,3,24,267.3
79.2,1168.286,1167.422348,5.82,-6.2,84,10,15,4,25,229.31
79,1059.23,1058.551328,3.77,-4.55,76,7,17,5,23,243.58
77,1281.347,1279.535256,8,-5.39,91,9,13,5,23,222.19
71,1473.327,1471.561972,8.55,-6.86,100,9,16,5,29,230.76
70,999.024,998.3799266,4.3,-5.03,73,9,15,3,16,218.36
70,1043.077,1042.406141,4.52,-5.11,76,9,16,3,19,227.59
70,1131.183,1130.458571,4.54,-5.12,82,9,18,3,25,246.05
70,1089.189,1088.423745,4.02,-5.44,77,8,18,3,28,255.05
69,1110.396,1109.552079,5.44,-5.76,80,8,14,5,21,230.57
68.3,829.915,829.3547595,3.93,-5.19,61,8,14,3,17,213.2
62.8,807.902,807.3803055,2.72,-4.63,58,6,14,4,25,225.97
62,981.54,980.330726,6.42,-5.93,70,9,15,4,16,215.81
62,815.852,815.3251907,2.19,-4.06,60,8,13,7,14,259.61
58,934.152,933.4371299,5.23,-6.02,67,8,13,5,16,199.37
56,880.392,879.2790247,3.94,-4.94,62,8,16,4,14,229.64
56,924.445,923.3052395,4.04,-5.01,65,8,17,4,17,238.87
56,1012.551,1011.357669,4.27,-5.16,71,8,19,4,23,257.33
55,938.115,937.412058,4.5,-5.68,67,8,13,5,15,199.37
53,1542.39,1540.583436,7.92,-6.78,105,10,17,5,28,251.07
52,864.065,863.4806287,3.77,-3.96,63,9,13,2,11,176.11
51.4,1078.205,1077.411783,5.35,-6.15,77,8,14,5,23,228.87
